game,number_of_game_type,game_type,round,agent,seed,observation,action,reward,termination,truncation,self_vel,self_pos,angles_to_pursuers,angles_to_evaders,velocities_of_evaders,velocities_of_pursuers,distances_to_landmarks,angles_to_landmarks,other_agent_velocities,distances_to_evaders,distances_to_pursuers,value_function,interception_point,is_evader_capture,radius
1,1,Pursuers: 6 vs Evaders: 5,1,adversary_0,8542,"[ 0.          0.         -0.5492914  -0.9334624   0.59083796  0.65918666
 -0.3977026   1.5180873  -0.07211884  0.24645272  0.13230817  0.7025477
 -0.42988068  0.14196348  1.2470942   0.20844793  1.3863684   0.77939856
 -0.30038527 -0.01445056 -0.18284205  0.14245674 -0.28295654  0.27934298
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, -1.0, -0.07207673416008047, 0.0, 0.0]",,,,[0. 0.],[-0.5492914 -0.9334624],"[0.0, 0.8400217, 1.8270144, 1.8554757, 1.3846503, 2.8226292]","[0.1656159, 0.5121518, -3.093523, 2.4797106, 2.3626206]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.8852212, 1.5693172, 0.256788, 0.71489775, 0.45271516, 1.2643949]","[0.84002167, 1.8270144, 1.8554757, 1.3846503, 2.8226295, 0.1656159]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.2643949, 1.5904338, 0.3007326, 0.23178682, 0.39761397]","[0.0, 0.88522124, 1.569317, 0.25678796, 0.71489775, 0.4527151]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,"[False, False, False, False, False]",0.29821049415917644
1,1,Pursuers: 6 vs Evaders: 5,1,adversary_1,8542,"[ 0.          0.          0.04154661 -0.2742757  -0.59083796 -0.65918666
 -0.98854053  0.85890055 -0.6629568  -0.41273397 -0.45852977  0.04336102
 -1.0207186  -0.5172232   0.6562562  -0.45073876  0.79553044  0.1202119
 -0.89122325 -0.6736373  -0.77368003 -0.51672995 -0.8737945  -0.3798437
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, 1.0, 0.22411930951117603, 0.0, 0.0]",,,,[0. 0.],[ 0.04154661 -0.2742757 ],"[-2.301571, 0.0, 2.4262524, -2.584746, 3.0473077, -2.6725798]","[-0.60183465, 0.14997445, -2.4943535, -2.5527465, -2.7315297]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.8852212, 1.3095505, 0.780936, 0.46057543, 1.1442841, 0.7961392]","[-2.301571, 2.4262524, -2.584746, 3.0473077, -2.6725798, -0.60183465]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.7961392, 0.8045618, 1.1171687, 0.9303712, 0.9527843]","[0.88522124, 0.0, 1.3095505, 0.780936, 0.46057546, 1.1442841]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,"[False, False, False, False, False]",0.7145882319454313
1,1,Pursuers: 6 vs Evaders: 5,1,adversary_2,8542,"[ 0.          0.         -0.94699395  0.5846248   0.3977026  -1.5180873
  0.98854053 -0.85890055  0.32558376 -1.2716346   0.53001076 -0.81553954
 -0.03217807 -1.3761238   1.6447967  -1.3096393   1.784071   -0.73868865
  0.09731732 -1.5325378   0.21486054 -1.3756305   0.11474607 -1.2387443
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, 0.09505970095249744, -1.0, 0.0, 0.0]",,,,[0. 0.],[-0.94699395  0.5846248 ],"[-1.3145782, -0.71534026, 0.0, -1.3201452, -0.9944986, -1.5941752]","[-0.6724389, -0.39255664, -1.5073807, -1.4158576, -1.478429]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.5693172, 1.3095505, 1.3126535, 0.97263366, 1.3765, 2.1025014]","[-1.3145782, -0.71534026, -1.3201452, -0.99449867, -1.5941752, -0.672439]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[2.1025012, 1.9309506, 1.5356245, 1.3923088, 1.2440474]","[1.569317, 1.3095505, 0.0, 1.3126535, 0.9726336, 1.3764999]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,"[False, False, False, False, False]",0.9330355715507688
1,1,Pursuers: 6 vs Evaders: 5,1,adversary_3,8542,"[ 0.          0.         -0.6214102  -0.6870097   0.07211884 -0.24645272
  0.6629568   0.41273397 -0.32558376  1.2716346   0.20442702  0.45609498
 -0.35776183 -0.10448923  1.319213   -0.03800479  1.4584873   0.5329459
 -0.22826643 -0.26090327 -0.11072321 -0.10399597 -0.21083769  0.03289027
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[0. 0.],[-0.6214102 -0.6870097],"[-1.286117, 0.55684674, 1.8214475, 0.0, 1.1494308, -2.8574328]","[-0.028800694, 0.3503366, -2.2895744, -2.3875148, 2.9868417]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.256788, 0.780936, 1.3126535, 0.499813, 0.37270835, 1.3197603]","[-1.286117, 0.5568467, 1.8214475, 1.1494308, -2.8574328, -0.02880069]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.3197602, 1.5528092, 0.3466642, 0.15190384, 0.21338765]","[0.25678796, 0.780936, 1.3126535, 0.0, 0.49981305, 0.37270832]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,"[False, False, False, False, False]",0.1600407441358318
1,1,Pursuers: 6 vs Evaders: 5,1,adversary_4,8542,"[ 0.          0.         -0.4169832  -0.23091467 -0.13230817 -0.7025477
  0.45852977 -0.04336102 -0.53001076  0.81553954 -0.20442702 -0.45609498
 -0.56218886 -0.56058425  1.1147859  -0.49409977  1.2540603   0.07685088
 -0.43269345 -0.7169983  -0.31515023 -0.56009096 -0.4152647  -0.42320472
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, -0.7750264111510723, -1.0, 0.0, 0.0]",,,,[0. 0.],[-0.4169832  -0.23091467],"[-1.7569424, -0.09428495, 2.147094, -1.9921619, 0.0, -2.3576236]","[-0.41720468, 0.061205093, -2.11377, -2.0833201, -2.346725]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.71489775, 0.46057543, 0.97263366, 0.499813, 0.7939213, 1.2193778]","[-1.7569424, -0.09428496, 2.147094, -1.9921619, -2.3576236, -0.41720468]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.2193778, 1.2564129, 0.83744264, 0.6426675, 0.592914]","[0.71489775, 0.46057546, 0.9726336, 0.49981305, 0.0, 0.79392123]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,"[False, False, False, False, False]",0.4446854788416088
1,1,Pursuers: 6 vs Evaders: 5,1,adversary_5,8542,"[ 0.0000000e+00  0.0000000e+00 -9.7917199e-01 -7.9149890e-01
  4.2988068e-01 -1.4196348e-01  1.0207186e+00  5.1722318e-01
  3.2178070e-02  1.3761238e+00  3.5776183e-01  1.0448923e-01
  5.6218886e-01  5.6058425e-01  1.6769748e+00  6.6484444e-02
  1.8162491e+00  6.3743508e-01  1.2949540e-01 -1.5641405e-01
  2.4703862e-01  4.9325655e-04  1.4692414e-01  1.3737950e-01
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[0.0, 0.9565676364518703, -1.0, 0.0, 0.0]",,,,[0. 0.],[-0.979172  -0.7914989],"[-0.31896335, 0.46901283, 1.5474175, 0.2841599, 0.78396904, 0.0]","[0.039624717, 0.3375319, -0.8792724, 0.0019968029, 0.75183886]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.45271516, 1.1442841, 1.3765, 0.37270835, 0.7939213, 1.6782922]","[-0.31896332, 0.4690128, 1.5474175, 0.28415987, 0.783969, 0.039624717]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.6782922, 1.9248595, 0.20306256, 0.2470391, 0.2011463]","[0.4527151, 1.1442841, 1.3764999, 0.37270832, 0.79392123, 0.0]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,"[False, False, False, False, False]",0.15085973023441673
1,1,Pursuers: 6 vs Evaders: 5,1,agent_0,8542,"[ 0.          0.          0.6978028  -0.72501445 -1.2470942  -0.20844793
 -0.6562562   0.45073876 -1.6447967   1.3096393  -1.319213    0.03800479
 -1.1147859   0.49409977 -1.6769748  -0.06648444  0.13927428  0.5709506
 -1.5474794  -0.22289848 -1.4299362  -0.06599119 -1.5300506   0.07089505
  0.          0.          0.          0.          0.          0.
  0.          0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,[0. 0.],[ 0.6978028  -0.72501445],"[-2.9759767, 2.539758, 2.4691536, 3.112792, 2.724388, -3.101968]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.2643949, 0.7961392, 2.1025014, 1.3197603, 1.2193778, 1.6782922]","[-2.9759767, 2.539758, 2.4691536, 3.112792, 2.724388, -3.101968]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[1.2643949, 0.7961392, 2.1025012, 1.3197602, 1.2193778, 1.6782922]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,[],
1,1,Pursuers: 6 vs Evaders: 5,1,agent_1,8542,"[ 0.          0.          0.8370771  -0.1540638  -1.3863684  -0.77939856
 -0.79553044 -0.1202119  -1.784071    0.73868865 -1.4584873  -0.5329459
 -1.2540603  -0.07685088 -1.8162491  -0.6374351  -0.13927428 -0.5709506
 -1.6867537  -0.7938491  -1.5692105  -0.63694185 -1.669325   -0.5000556
  0.          0.          0.          0.          0.          0.
  0.          0.        ]","[0.0, 1.0, 0.373532182518626, 0.0, 0.0]",,,,[0. 0.],[ 0.8370771 -0.1540638],"[-2.6294408, -2.9916182, 2.749036, -2.791256, -3.0803876, -2.8040607]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.5904337, 0.80456173, 1.9309506, 1.5528092, 1.2564129, 1.9248595]","[-2.6294408, -2.9916182, 2.749036, -2.791256, -3.0803876, -2.8040607]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[1.5904338, 0.8045618, 1.9309506, 1.5528092, 1.2564129, 1.9248595]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,[],
1,1,Pursuers: 6 vs Evaders: 5,1,agent_2,8542,"[ 0.          0.         -0.8496766  -0.94791293  0.30038527  0.01445056
  0.89122325  0.6736373  -0.09731732  1.5325378   0.22826643  0.26090327
  0.43269345  0.7169983  -0.1294954   0.15641405  1.5474794   0.22289848
  1.6867537   0.7938491   0.11754323  0.1569073   0.01742875  0.29379353
  0.          0.          0.          0.          0.          0.
  0.          0.        ]","[0.0, -0.8046424949531162, -1.0, 0.0, 0.0]",,,,[0. 0.],[-0.8496766  -0.94791293],"[0.048069667, 0.6472391, 1.634212, 0.85201824, 1.0278226, 2.2623203]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.30073264, 1.1171688, 1.5356246, 0.34666422, 0.83744264, 0.20306258]","[0.048069667, 0.647239, 1.6342119, 0.85201824, 1.0278226, 2.2623203]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[0.3007326, 1.1171687, 1.5356245, 0.3466642, 0.83744264, 0.20306256]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,[],
1,1,Pursuers: 6 vs Evaders: 5,1,agent_3,8542,"[ 0.0000000e+00  0.0000000e+00 -7.3213339e-01 -7.9100561e-01
  1.8284205e-01 -1.4245674e-01  7.7368003e-01  5.1672995e-01
 -2.1486054e-01  1.3756305e+00  1.1072321e-01  1.0399597e-01
  3.1515023e-01  5.6009096e-01 -2.4703862e-01 -4.9325655e-04
  1.4299362e+00  6.5991186e-02  1.5692105e+00  6.3694185e-01
 -1.1754323e-01 -1.5690731e-01 -1.0011448e-01  1.3688624e-01
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[0. 0.],[-0.7321334 -0.7910056],"[-0.661882, 0.5888462, 1.7257351, 0.75407785, 1.0582726, -3.1395957]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.23178683, 0.9303712, 1.392309, 0.15190388, 0.64266753, 0.24703911]","[-0.661882, 0.58884615, 1.7257351, 0.7540781, 1.0582725, -3.139596]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[0.23178682, 0.9303712, 1.3923088, 0.15190384, 0.6426675, 0.2470391]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,[],
1,1,Pursuers: 6 vs Evaders: 5,1,agent_4,8542,"[ 0.          0.         -0.83224785 -0.6541194   0.28295654 -0.27934298
  0.8737945   0.3798437  -0.11474607  1.2387443   0.21083769 -0.03289027
  0.4152647   0.42320472 -0.14692414 -0.1373795   1.5300506  -0.07089505
  1.669325    0.5000556  -0.01742875 -0.29379353  0.10011448 -0.13688624
  0.          0.          0.          0.          0.          0.
  0.          0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,False,False,[0. 0.],[-0.83224785 -0.6541194 ],"[-0.77897197, 0.4100629, 1.6631638, -0.15475105, 0.7948676, -2.3897538]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.39761403, 0.95278436, 1.2440474, 0.21338768, 0.592914, 0.20114629]","[-0.7789719, 0.4100629, 1.6631638, -0.15475073, 0.7948676, -2.3897538]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[0.39761397, 0.9527843, 1.2440474, 0.21338765, 0.592914, 0.2011463]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",[-0.84531942 -0.87446454],[],
1,1,Pursuers: 6 vs Evaders: 5,2,adversary_0,8542,"[ 0.0000000e+00 -0.0000000e+00 -5.4929137e-01 -9.3346238e-01
  5.9083796e-01  6.5918666e-01 -3.9770260e-01  1.5180873e+00
 -7.2118841e-02  2.4645272e-01  1.3230817e-01  7.0254773e-01
 -4.2988068e-01  1.4196348e-01  1.2470942e+00  2.0844793e-01
  1.3863684e+00  7.7939856e-01 -3.0038527e-01 -1.4450561e-02
 -1.8284205e-01  1.4245674e-01 -2.8295654e-01  2.7934298e-01
 -0.0000000e+00 -0.0000000e+00 -2.5058714e-01  0.0000000e+00
  7.9887564e-37 -9.6494076e-37 -1.5081974e-14 -1.4165635e-14
 -3.5302101e-33  4.8411625e-33]","[0.0, -1.0, -0.07207673416008047, 0.0, 0.0]",,,,[ 0. -0.],[-0.5492914 -0.9334624],"[0.0, 0.8400217, 1.8270144, 1.8554757, 1.3846503, 2.8226292]","[0.1656159, 0.5121518, -3.093523, 2.4797106, 2.3626206]","[array([-0., -0.], dtype=float32), array([-0.25058714,  0.        ], dtype=float32), array([ 7.988756e-37, -9.649408e-37], dtype=float32), array([-1.5081974e-14, -1.4165635e-14], dtype=float32), array([-3.5302101e-33,  4.8411625e-33], dtype=float32)]","[array([ 0., -0.], dtype=float32), array([-0.23276421, -0.        ], dtype=float32), array([-0.02851791,  0.        ], dtype=float32), array([1.5081974e-14, 1.4165635e-14], dtype=float32), array([-0.,  0.], dtype=float32), array([-2.8697029e-01, -4.8493608e-36], dtype=float32)]","[0.8852212, 1.5693172, 0.256788, 0.71489775, 0.45271516, 1.2643949]","[0.84002167, 1.8270144, 1.8554757, 1.3846503, 2.8226295, 0.1656159]","[-0.0000000e+00 -0.0000000e+00 -2.5058714e-01  0.0000000e+00
  7.9887564e-37 -9.6494076e-37 -1.5081974e-14 -1.4165635e-14
 -3.5302101e-33  4.8411625e-33]","[1.2643949, 1.5904338, 0.3007326, 0.23178682, 0.39761397]","[0.0, 0.88522124, 1.569317, 0.25678796, 0.71489775, 0.4527151]","{(-0.5492913722991943, -0.933462381362915, 0.0): 0.0, (0.04154660925269127, -0.27427569031715393, 0.0): 0.0, (-0.9469939470291138, 0.5846248269081116, 0.0): 0.0, (-0.6214101910591125, -0.6870096921920776, 0.0): 0.0, (-0.4169831871986389, -0.2309146672487259, 0.0): 0.0, (-0.9791719913482666, -0.7914988994598389, 0.0): 0.0, (0.6978027820587158, -0.7250144481658936, 0.0): 0.0, (0.8370770812034607, -0.15406380593776703, 0.0): 0.0, (-0.8496766090393066, -0.9479129314422607, 0.0): 0.0, (-0.7321333885192871, -0.7910056114196777, 0.0): 0.0, (-0.8322478532791138, -0.6541193723678589, 0.0): 0.0}",,"[False, False, False, False, False]",0.29821049415917644
